Performing image warping using TORCH_ALL
Working on image 0
Not saving images, only evaluating output
Time taken was 1.286961
Reference position is (4, 4)
Position (2, 7): PSNR 32.134986, SSIM 0.876483
Position (3, 0): PSNR 31.991814, SSIM 0.891285
Position (3, 1): PSNR 33.570091, SSIM 0.909281
Position (3, 2): PSNR 35.430716, SSIM 0.924944
Position (3, 3): PSNR 37.261332, SSIM 0.935699
Position (3, 4): PSNR 38.221372, SSIM 0.943981
Position (3, 5): PSNR 36.857111, SSIM 0.927123
Position (3, 6): PSNR 35.433126, SSIM 0.923305
Position (3, 7): PSNR 33.720411, SSIM 0.904541
Position (4, 0): PSNR 32.725897, SSIM 0.909745
Position (4, 1): PSNR 34.443623, SSIM 0.925156
Position (4, 2): PSNR 37.014551, SSIM 0.947983
Position (4, 3): PSNR 39.617872, SSIM 0.950152
Position (4, 4): PSNR 100.000000, SSIM 1.000000
Position (4, 5): PSNR 40.119502, SSIM 0.951569
Position (4, 6): PSNR 37.805791, SSIM 0.950964
Position (4, 7): PSNR 34.939758, SSIM 0.924260
Position (5, 0): PSNR 32.338059, SSIM 0.896716
Position (5, 1): PSNR 33.552130, SSIM 0.905799
Position (5, 2): PSNR 35.318280, SSIM 0.923869
Position (5, 3): PSNR 36.705051, SSIM 0.924368
Position (5, 4): PSNR 38.325281, SSIM 0.943117
Position (5, 5): PSNR 37.777467, SSIM 0.935353
Position (5, 6): PSNR 36.276857, SSIM 0.927447
Position (5, 7): PSNR 34.384647, SSIM 0.910786
Position (6, 0): PSNR 31.412527, SSIM 0.871179
Position (6, 1): PSNR 32.221312, SSIM 0.878207
Position (6, 2): PSNR 33.226336, SSIM 0.887490
Position (6, 3): PSNR 33.992690, SSIM 0.893947
Position (6, 4): PSNR 34.546058, SSIM 0.898094
Position (6, 5): PSNR 34.681536, SSIM 0.903305
Position (6, 6): PSNR 33.983437, SSIM 0.893092
Position (6, 7): PSNR 33.092406, SSIM 0.886746
Position (7, 0): PSNR 30.414036, SSIM 0.843866
Position (7, 1): PSNR 30.951851, SSIM 0.851377
Position (7, 2): PSNR 31.508226, SSIM 0.852888
Position (7, 3): PSNR 31.990078, SSIM 0.861150
Position (7, 4): PSNR 32.398245, SSIM 0.865092
Position (7, 5): PSNR 32.522567, SSIM 0.868580
Position (7, 6): PSNR 32.254448, SSIM 0.863099
Position (7, 7): PSNR 31.785229, SSIM 0.858044

psnr average 34.323464, stddev 8.674410
ssim average 0.888575, stddev 0.038653
Working on image 3
Not saving images, only evaluating output
Time taken was 1.233308
Reference position is (4, 4)
Position (0, 0): PSNR 31.401218, SSIM 0.885829
Position (0, 1): PSNR 31.675999, SSIM 0.888730
Position (0, 2): PSNR 31.915262, SSIM 0.891527
Position (0, 3): PSNR 32.202837, SSIM 0.895163
Position (0, 4): PSNR 32.417529, SSIM 0.899720
Position (0, 5): PSNR 32.580995, SSIM 0.901463
Position (0, 6): PSNR 32.736903, SSIM 0.903502
Position (0, 7): PSNR 32.766844, SSIM 0.904788
Position (1, 0): PSNR 32.555593, SSIM 0.901016
Position (1, 1): PSNR 33.030703, SSIM 0.905657
Position (1, 2): PSNR 33.396627, SSIM 0.909531
Position (1, 3): PSNR 33.740565, SSIM 0.913537
Position (1, 4): PSNR 33.942998, SSIM 0.915676
Position (1, 5): PSNR 34.114272, SSIM 0.917780
Position (1, 6): PSNR 34.168074, SSIM 0.918605
Position (1, 7): PSNR 33.996497, SSIM 0.917827
Position (2, 0): PSNR 34.054939, SSIM 0.920189
Position (2, 1): PSNR 34.716717, SSIM 0.924861
Position (2, 2): PSNR 35.364977, SSIM 0.929843
Position (2, 3): PSNR 35.831699, SSIM 0.933567
Position (2, 4): PSNR 36.239201, SSIM 0.937586
Position (2, 5): PSNR 36.284203, SSIM 0.936816
Position (2, 6): PSNR 36.104460, SSIM 0.936392
Position (2, 7): PSNR 35.370009, SSIM 0.932453
Position (3, 0): PSNR 35.801604, SSIM 0.939425
Position (3, 1): PSNR 36.881907, SSIM 0.946758
Position (3, 2): PSNR 38.020846, SSIM 0.952707
Position (3, 3): PSNR 39.047632, SSIM 0.957162
Position (3, 4): PSNR 39.797278, SSIM 0.958917
Position (3, 5): PSNR 39.816985, SSIM 0.960618
Position (3, 6): PSNR 38.397517, SSIM 0.955085
Position (3, 7): PSNR 36.679318, SSIM 0.948261
Position (4, 0): PSNR 37.283997, SSIM 0.955824
Position (4, 1): PSNR 38.939770, SSIM 0.964292
Position (4, 2): PSNR 41.161242, SSIM 0.972286
Position (4, 3): PSNR 43.357598, SSIM 0.976024
Position (4, 4): PSNR 100.000000, SSIM 1.000000
Position (4, 5): PSNR 42.808350, SSIM 0.974581
Position (4, 6): PSNR 39.744772, SSIM 0.967808
Position (4, 7): PSNR 36.974781, SSIM 0.957565
Position (5, 0): PSNR 36.374740, SSIM 0.945687
Position (5, 1): PSNR 37.509055, SSIM 0.951593
Position (5, 2): PSNR 38.548309, SSIM 0.955998
Position (5, 3): PSNR 39.619113, SSIM 0.959761
Position (5, 4): PSNR 39.755246, SSIM 0.958248
Position (5, 5): PSNR 38.750719, SSIM 0.955332
Position (5, 6): PSNR 37.137737, SSIM 0.950015
Position (5, 7): PSNR 35.331205, SSIM 0.941550
Position (6, 0): PSNR 34.468725, SSIM 0.924497
Position (6, 1): PSNR 35.027415, SSIM 0.929602
Position (6, 2): PSNR 35.533991, SSIM 0.932998
Position (6, 3): PSNR 35.870503, SSIM 0.935086
Position (6, 4): PSNR 35.871479, SSIM 0.934699
Position (6, 5): PSNR 35.344043, SSIM 0.930814
Position (6, 6): PSNR 34.521295, SSIM 0.926354
Position (6, 7): PSNR 33.480938, SSIM 0.920043
Position (7, 0): PSNR 32.809610, SSIM 0.905108
Position (7, 1): PSNR 33.118088, SSIM 0.909129
Position (7, 2): PSNR 33.407656, SSIM 0.910865
Position (7, 3): PSNR 33.560576, SSIM 0.911522
Position (7, 4): PSNR 33.504916, SSIM 0.910861
Position (7, 5): PSNR 33.192973, SSIM 0.908642
Position (7, 6): PSNR 32.753314, SSIM 0.906082
Position (7, 7): PSNR 32.026331, SSIM 0.901059

psnr average 36.606886, stddev 8.454309
ssim average 0.931639, stddev 0.024973
Working on image 4
Not saving images, only evaluating output
Time taken was 1.221534
Reference position is (4, 4)
Position (0, 0): PSNR 32.729806, SSIM 0.900225
Position (0, 1): PSNR 33.204484, SSIM 0.904276
Position (0, 2): PSNR 33.549354, SSIM 0.907454
Position (0, 3): PSNR 33.736767, SSIM 0.908364
Position (0, 4): PSNR 33.924262, SSIM 0.910372
Position (0, 5): PSNR 33.748218, SSIM 0.908312
Position (0, 6): PSNR 33.233069, SSIM 0.902784
Position (0, 7): PSNR 32.690367, SSIM 0.897560
Position (1, 0): PSNR 33.516895, SSIM 0.913115
Position (1, 1): PSNR 34.199051, SSIM 0.918546
Position (1, 2): PSNR 34.823607, SSIM 0.924475
Position (1, 3): PSNR 35.201091, SSIM 0.926539
Position (1, 4): PSNR 35.539122, SSIM 0.929220
Position (1, 5): PSNR 35.277803, SSIM 0.926635
Position (1, 6): PSNR 34.539486, SSIM 0.920262
Position (1, 7): PSNR 33.766509, SSIM 0.913727
Position (2, 0): PSNR 34.449670, SSIM 0.928139
Position (2, 1): PSNR 35.436056, SSIM 0.934904
Position (2, 2): PSNR 36.401077, SSIM 0.941629
Position (2, 3): PSNR 37.189603, SSIM 0.946078
Position (2, 4): PSNR 37.853778, SSIM 0.950677
Position (2, 5): PSNR 37.407404, SSIM 0.947505
Position (2, 6): PSNR 36.230269, SSIM 0.939493
Position (2, 7): PSNR 34.975486, SSIM 0.930590
Position (3, 0): PSNR 35.235495, SSIM 0.938744
Position (3, 1): PSNR 36.557073, SSIM 0.947229
